City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Vestmannaeyjar,IS,63.44,-20.27,51.75,73,45,4.43,scattered clouds
326,Aromashevo,RU,56.86,68.64,55.54,83,66,11.18,broken clouds
327,Paamiut,GL,61.99,-49.67,42.08,91,17,9.15,few clouds
328,Mbanza-Ngungu,CD,-5.25,14.87,67.03,93,36,4.07,scattered clouds
329,Anadyr,RU,64.75,177.48,55.4,76,75,8.95,shower rain
330,Hobyo,SO,5.35,48.53,76.51,75,93,22.03,overcast clouds
331,San Quintin,MX,30.48,-115.95,74.91,73,0,10.42,clear sky
332,Bethel,US,41.37,-73.41,73.4,88,1,3.36,clear sky
333,Riyadh,SA,24.69,46.72,84.2,18,0,6.93,clear sky
334,Waipawa,NZ,-41.41,175.52,59.0,67,28,16.11,scattered clouds
335,Muromtsevo,RU,56.37,75.24,56.34,85,42,6.38,scattered clouds
336,Hambantota,LK,6.12,81.12,86.0,74,20,6.93,few clouds
337,Codrington,AU,-38.27,141.97,51.57,59,33,10.74,scattered clouds
338,Adrar,MR,20.5,-10.07,91.11,32,0,14.07,clear sky
339,Deputatskiy,RU,69.3,139.9,36.03,83,99,6.71,overcast clouds
340,Buckeye,US,33.37,-112.58,105.8,29,1,4.7,clear sky
341,Sinnamary,GF,5.38,-52.95,78.58,88,16,8.7,light rain
342,Nehe,CN,48.48,124.83,64.81,90,100,6.85,overcast clouds
343,Zhanaozen,KZ,43.3,52.8,65.3,58,59,9.35,broken clouds
344,Barrow,US,71.29,-156.79,46.4,75,1,9.17,clear sky
345,Calvinia,ZA,-31.47,19.78,45.59,52,56,1.63,broken clouds
346,Kirovskiy,RU,45.09,133.51,77.83,75,100,5.35,moderate rain
347,Laguna,US,38.42,-121.42,84.0,39,1,9.17,haze
348,Kudligi,IN,14.9,76.38,76.55,78,95,13.31,overcast clouds
349,Arkhara,RU,49.42,130.08,67.53,85,100,7.54,light rain
350,Namibe,AO,-15.2,12.15,63.73,92,96,1.01,overcast clouds
351,Berlevag,NO,70.86,29.09,55.4,82,75,11.41,broken clouds
352,Provideniya,RU,64.38,-173.3,53.6,76,75,8.95,broken clouds
353,Ponta Delgada,PT,37.73,-25.67,69.8,94,20,3.36,few clouds
354,Marsh Harbour,BS,26.54,-77.06,84.88,77,1,25.5,light rain
355,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,72.23,80,100,3.8,overcast clouds
356,Vostok,RU,46.49,135.88,69.55,65,100,3.24,overcast clouds
357,Leicester,GB,52.64,-1.13,55.99,48,31,5.01,scattered clouds
358,Khasan,RU,42.43,130.64,72.77,83,100,10.78,overcast clouds
359,Honningsvag,NO,70.98,25.97,55.4,82,75,11.41,broken clouds
360,Peniche,PT,39.36,-9.38,66.99,93,53,10.69,broken clouds
361,Molteno,ZA,-31.4,26.36,45.39,55,60,8.72,broken clouds
